##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
A-one	pos: adjective   Exceptionally good of its kind: ace, banner, blue-ribbon, brag, capital, champion, excellent, fine, first-class, first-rate, prime, quality, splendid, superb, superior, terrific, tiptop, top.  bully, dandy, great, swell, topflight, topnotch.  boss.  tophole. 
aback	pos: adverb Without adequate preparation: short, unawarely, unawares.  by surprise. 
abandon	pos: verb 1. To give up or leave without intending to return or claim again: desert, forsake, leave, quit, throw over.  run out on, walk out on. 2. To give up a possession, claim, or right: abdicate, cede, demit, forswear, hand over, quitclaim, relinquish, render, renounce, resign, surrender, waive, yield. 3. To let (something) go: cede, forgo, lay down, relinquish, surrender, yield. 4. To cease trying to accomplish or continue: break off, desist, discontinue, give up, leave off, quit, relinquish, remit, stop.  swear off.  lay off.  call it a day, call it quits, hang up one's fiddle, have done with, throw in the towel. 5. To yield (oneself) unrestrainedly, as to a particular impulse: give over, give up, surrender. pos: noun 1. A complete surrender of inhibitions: abandonment, incontinence, unrestraint, wantonness, wildness. 2. A careless, often reckless disregard for consequences: carelessness, heedlessness, thoughtlessness. 
abandoned	pos: adjective 1. Having been given up and left alone: bereft, derelict, deserted, desolate, forlorn, forsaken, lorn. 2. Lacking in moral restraint: dissipated, dissolute, fast, gay, incontinent, licentious, profligate, rakish, unbridled, unconstrained, uncontrolled, ungoverned, uninhibited, unrestrained, wanton, wild. 
abandonment	pos: noun 1. The act of forsaking: desertion. 2. A giving up of a possession, claim, or right: abdication, demission, quitclaim, relinquishment, renunciation, resignation, surrender, waiver. 3. A complete surrender of inhibitions: abandon, incontinence, unrestraint, wantonness, wildness. 
abase	pos: verb To deprive of esteem, self-worth, or effectiveness: degrade, demean, humble, humiliate, mortify.  bring low, take down a peg. 
abasement	pos: noun A lowering in or deprivation of character or self-esteem: debasement, degradation, humiliation, mortification. 
abash	pos: verb To cause (a person) to be self-consciously distressed: chagrin, confound, confuse, discomfit, discomfort, disconcert, discountenance, embarrass, faze, mortify.  put on the spot, throw for a loop. 
abashment	pos: noun Self-conscious distress: chagrin, confusion, discomfiture, discomposure, embarrassment. 
abate	pos: verb 1. To grow or cause to grow gradually less: decrease, diminish, drain, dwindle, ebb, lessen, let up, peter (out), rebate, reduce, tail away (or off), taper (off). 2. To become or cause to become less active or intense: bate, die (away, down, off,  out), ease (off  up), ebb, fall, fall off, lapse, let up, moderate, remit, slacken, slack off, subside, wane. 3. To take away (a quantity) from another quantity: deduct, discount, rebate, subtract, take (off).  knock off. 
abatement	pos: noun 1. The act or process of decreasing: curtailment, cut, cutback, decrease, decrement, diminishment, diminution, drain, reduction, slash, slowdown, taper. 2. The act or process of becoming less active or intense: ebb, letup, remission, slackening, subsidence, wane. 3. An amount deducted: deduction, discount, rebate, reduction. 
abbreviate	pos: verb To make short or shorter the duration or extent of: abridge, condense, curtail, reduce, shorten. 
abdicate	pos: verb To give up a possession, claim, or right: abandon, cede, demit, forswear, hand over, quitclaim, relinquish, render, renounce, resign, surrender, waive, yield. 
abdication	pos: noun A giving up of a possession, claim, or right: abandonment, demission, quitclaim, relinquishment, renunciation, resignation, surrender, waiver. 
abduct	pos: verb To seize and detain (a person) unlawfully: kidnap, snatch, spirit away. 
abecedarian	pos: noun One who is just starting to learn or do something: beginner, fledgling, freshman, greenhorn, initiate, neophyte, novice, novitiate, tenderfoot, tyro.  rookie. 
aberrance	pos: noun The condition of being abnormal: aberrancy, aberration, abnormality, anomaly, deviance, deviancy, deviation, irregularity, preternaturalness, unnaturalness. 
aberrancy	pos: noun The condition of being abnormal: aberrance, aberration, abnormality, anomaly, deviance, deviancy, deviation, irregularity, preternaturalness, unnaturalness. 
